nCount_RNA,nFeature_RNA,percent.mt,cellType
5632,1372,3.88849431818182,Corneal stroma keratocytes
17995,3680,8.79133092525702,Corneal basal and suprabasal cells
5654,2068,1.99858507251503,Corneal stroma
2842,1232,2.74454609429979,Corneal basal and suprabasal cells
8095,2732,9.83323038912909,Limbal superficial  cells
21145,3668,7.05131236698983,Corneal wing cells
10511,2609,6.57406526496052,Corneal stroma
12875,3543,4.71456310679612,Corneal stroma keratocytes
13440,2978,4.50148809523809,Corneal stroma
17891,3704,9.94354703482198,Corneal wing cells
18111,3851,7.44851195406107,Corneal epithelial superficial cells
32345,4670,3.89550162312568,Corneal wing cells
32530,4796,7.6022133415309,Corneal wing cells
10358,2940,6.72909828152153,Superficial conjunctiva epithelium
25340,4944,6.67719021310181,Corneal basal and suprabasal cells
3737,1197,7.25180626170725,Immune cells II
20946,4128,2.45392915115058,Corneal stroma
18675,4287,4.39625167336011,Immune cells I
13442,3064,8.17586668650499,Basal conjuctiva epithelium
71846,7270,7.00386938730062,Corneal wing cells
23311,4525,2.83128136931063,Corneal stroma keratocytes
17251,3906,6.50397078430236,Corneal wing cells
44073,6519,7.2811018083634,Limbal Niche
4131,1153,1.01670297748729,Limbal Niche
22278,3673,9.57895681838585,Corneal wing cells
14070,3278,5.88486140724947,Basal conjuctiva epithelium
22682,4157,9.73459130588131,Corneal wing cells
19511,3997,6.78591563733279,Corneal wing cells
34107,5180,7.35919312751048,Limbal superficial  cells
4409,1463,1.15672488092538,Corneal wing cells
20597,4545,2.10224790017964,Corneal stroma keratocytes
6629,2837,1.99125056569618,Corneal stroma keratocytes
28461,5213,9.31801412459155,Limbal Niche
4997,1687,1.66099659795878,Transit amplifying cells
15730,3263,5.23839796567069,Basal conjuctiva epithelium
18539,3998,5.96580182318356,Corneal stroma keratocytes
19560,4502,8.39979550102249,Corneal epithelial superficial cells
23862,4030,7.83253708825748,Basal conjuctiva epithelium
24538,4526,8.6681881163909,Superficial conjunctiva epithelium
24233,4778,8.31098089382247,Corneal basal and suprabasal cells
18302,3329,6.87902961424981,Basal conjuctiva epithelium
